overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
181,Adam Thielen (14),Adam Thielen,14,WR66,WR,CAR,131 (11.11),11.11,186 (16.6),16.6,224 (19.8),19.8
182,Kyle Monangai (5),Kyle Monangai,5,RB68,RB,CHI,167 (14.11),14.11,186 (16.6),16.6,201 (17.9),17.9
183,Jordan Love (5),Jordan Love,5,QB20,QB,GB,152 (13.8),13.8,186 (16.6),16.6,226 (19.10),19.10
184,BAL Team Defense (7),BAL Team Defense,7,DF3,DF,BAL,164 (14.8),14.8,186 (16.6),16.6,223 (19.7),19.7
185,Xavier Legette (14),Xavier Legette,14,WR67,WR,CAR,173 (15.5),15.5,187 (16.7),16.7,201 (17.9),17.9
186,Dont’e Thornton (8),Dont’e Thornton,8,WR68,WR,LV,156 (13.12),13.12,187 (16.7),16.7,238 (20.10),20.10
187,Tre’ Harris (12),Tre’ Harris,12,WR69,WR,LAC,171 (15.3),15.3,187 (16.7),16.7,215 (18.11),18.11
188,Romeo Doubs (5),Romeo Doubs,5,WR70,WR,GB,157 (14.1),14.1,187 (16.7),16.7,230 (20.2),20.2
189,Tory Horton (8),Tory Horton,8,WR71,WR,SEA,150 (13.6),13.6,189 (16.9),16.9,223 (19.7),19.7
190,PHI Team Defense (9),PHI Team Defense,9,DF4,DF,PHI,170 (15.2),15.2,190 (16.10),16.10,207 (18.3),18.3
191,Sean Tucker (9),Sean Tucker,9,RB69,RB,TB,180 (15.12),15.12,190 (16.10),16.10,216 (18.12),18.12
192,Jarquez Hunter (8),Jarquez Hunter,8,RB70,RB,LAR,141 (12.9),12.9,190 (16.10),16.10,218 (19.2),19.2
193,Elijah Arroyo (8),Elijah Arroyo,8,TE27,TE,SEA,165 (14.9),14.9,190 (16.10),16.10,216 (18.12),18.12
194,Ja’Tavion Sanders (14),Ja’Tavion Sanders,14,TE28,TE,CAR,174 (15.6),15.6,193 (17.1),17.1,224 (19.8),19.8
195,Cameron Dicker (12),Cameron Dicker,12,PK2,PK,LAC,147 (13.3),13.3,194 (17.2),17.2,217 (19.1),19.1
196,Aaron Rodgers (5),Aaron Rodgers,5,QB21,QB,PIT,194 (17.2),17.2,194 (17.2),17.2,194 (17.2),17.2
197,Gunnar Helm (10),Gunnar Helm,10,TE29,TE,TEN,194 (17.2),17.2,194 (17.2),17.2,194 (17.2),17.2
198,Bryce Young (14),Bryce Young,14,QB22,QB,CAR,168 (14.12),14.12,195 (17.3),17.3,224 (19.8),19.8
199,Kendre Miller (11),Kendre Miller,11,RB71,RB,NO,169 (15.1),15.1,195 (17.3),17.3,239 (20.11),20.11
200,Pat Bryant (12),Pat Bryant,12,WR72,WR,DEN,162 (14.6),14.6,196 (17.4),17.4,237 (20.9),20.9
201,Ray-Ray McCloud (5),Ray-Ray McCloud,5,WR73,WR,ATL,197 (17.5),17.5,197 (17.5),17.5,197 (17.5),17.5
202,Tua Tagovailoa (12),Tua Tagovailoa,12,QB23,QB,MIA,169 (15.1),15.1,199 (17.7),17.7,227 (19.11),19.11
203,Michael Penix (5),Michael Penix,5,QB24,QB,ATL,177 (15.9),15.9,200 (17.8),17.8,227 (19.11),19.11
204,Troy Franklin (12),Troy Franklin,12,WR74,WR,DEN,175 (15.7),15.7,200 (17.8),17.8,236 (20.8),20.8
